Chinese (Section B),English (Section A)
适配器,Adaptor
空气清新剂,Air Freshener
游泳臂圈,Armbands
婴儿床,Baby Cot
婴儿高脚椅,Baby High Chair
婴儿游泳浮圈（7至11公斤）,Baby Seat Buoy
婴儿座圈（小号 7至15公斤）,Baby Seat Ring 
婴儿浮圈（7至11公斤）,Baby Swimming Float
意大利香醋,Balsamic Vinegar
沐浴露,Bath Gel
浴巾,Bath Towel
毛巾 - 浴垫,Bathmat
浴袍,Bathrobe
床护栏,Bed Guard
拖鞋,Bedroom Slippers
生日蛋糕,Birthday cake
毛毯,Blanket
润肤露,Body Lotion
沐浴露,Body Wash
奶瓶消毒器,Bottle Sterilizer
碗,Bowl
红糖,Brown Sugar
冰桶,Bucket Of Ice 
黄油,Butter
椅子,Chair
洋甘菊茶,Chamomile
香槟杯,Champagne Glass
更换床单,Change Bedsheet
更换毛巾,Change Towel 
砧板,Chopping Board
筷子（一双）,Chopsticks
清洁浴室,Cleaning Of Bathroom
衣刷,Coat Brush
咖啡胶囊（Livianto）,Coffee Capsule (Livianto)
咖啡胶囊（Ristretto）,Coffee Capsule (Ristretto)
咖啡胶囊（Roma）,Coffee Capsule (Roma)
用品 - 咖啡胶囊（Vienna Lungo）,Coffee Capsule (Vienna Lungo)
咖啡杯碟套装,Coffee Cup and Saucer Set
咖啡杯,Coffee Mug
咖啡壶（小）,Coffee Pot (Small)
梳子,Comb
合并床铺（清洁时）,Combine Bed when MUR
护发素,Conditioner
卧室 - 记忆泡沫枕,Contour Memory Foam Pillow
开瓶器,Corkscrew
玉米油,Corn Oil
用品 - 奶精,Creamer
道牌袋丢失,Dao Bag missing
道牌自行车（米色）,Dao Bicycle (Beige)
道牌自行车（蓝色）,Dao Bicycle (Blue)
牙具套装,Dental Kit
洗衣粉,Detergent/Laundry Powder
洗碗机清洁片,Dishwasher Detergent Tablet
请勿打扰牌,DND Sign
门挡,Door Stopper
晾衣架,Drying Rack
鸭形喷水玩具,Duck Sprinklers
哑铃,Dumbbell
羽绒被,Duvet
被套,Duvet Cover
电动小火车骑乘玩具,Electric Train Truck Ride-On
用品 - 英式早餐茶,English Breakfast Tea
门口 - 门锁电池电量低,Entrance Door Lock Low Battery 
门口 - 门锁故障,Entrance Door Lock faulty
快洗服务,Express Laundry
快熨服务,Express Pressing
移走加床,Extra Bed Remove
卧室 - 备用枕头,Extra Pillow
移走客房送餐托盘,F&B Remove In-Room Dining Tray
面巾,Face Towel
 面纸,Facial Tissue
花瓶,Flower Vase
脚垫,Foot Mat
叉子,Fork
煎锅,Frying Pan
高脚玻璃杯,Glass
玻璃杯,Glasses
客用电梯故障,Guest Lift Issue
吹风机,Hair Dryer
洗手液,Hand Soap
手巾,Hand Towel
衣架（带夹）,Hanger with Clips
衣架,Hangers
移走冰桶,Ice bucket to remove
空气净化器,Ionizer
熨斗,Iron
熨斗与熨衣板,Iron & Board
熨衣板,Ironing Board
电热水壶,Kettle
房卡故障,Key Card Faulty
厨房,Kitchen
厨房剪刀,Kitchen Scissors
汤勺,Ladle
洗衣粉,Laundry Powder
洗衣收取,Laundry Pick Up
熨烫服务,Laundry Pressing Service
洗衣袋,Laundry Bag
洗衣清单,Laundry List
行李架,Luggage Rack
清理房间,Make Up Room
超细纤维枕头,Micro Fibre Pillow
用品 - 摩洛哥薄荷茶,Morocan Mint
用品 - 指甲套装,Nail Set
餐巾,Napkin
需要协助,Need Assistance
削皮刀,Paring Knife
笔,Pen
卧室 - 记忆泡沫枕,Pillow Foam
枕套,Pillowcase
盘子,Plate
婴儿围栏,Playpen
毛巾 - 泳池巾,Pool Towel
衣架（普通）,Regular Hanger
叫醒服务提醒,Reminder Wake Up Call
移走托盘,Remove Tray
保险箱协助,Safe Box Assistance
保险箱上锁（需开锁）,Safe Box Locked - (to open)
卫生袋,Sanitary Bag
衣架（缎面）,Satin Hanger
炖锅,Saucepan
针线包,Sewing Kit
用品 - 洗发水,Shampoo
剃须套装,Shaving Kit
鞋拔,Shoe Horn
用品 - 浴帽,Shower Cap
拖鞋,Slipper
汤匙,Soup Spoon
香料,Spices
文具盒,Stationery Box
餐刀,Table Knife
大茶壶,Tea Pot Big
纸巾,Tissue
清理垃圾,Clear Rubbish
空气净化器,Ionizer
卫生纸,Toilet Paper
垃圾袋,Trash Bags
夜床服务,Turndown Service
TWG 茶包（多种口味）,Tea Bags
雨伞,Umbrella
梳洗套装,Vanity Kit
体重秤,Weighing Scale
用品 - 白糖,White Sugar
红酒杯,Wine Glass
